"China, 11 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,31728,1
Guangdong,1177,1
Zhejiang,1117,1
Henan,1105,1
Hunan,912,1
Anhui,860,1
Jiangxi,804,1
Jiangsu,515,1
Chongqing,486,1
Shandong,486,1
Sichuan,417,1
Heilongjiang,360,1
Beijing,342,1
Shanghai,302,1
Fujian,267,1
Hebei,239,1
Shaanxi,219,1
Guangxi,215,1
Yunnan,149,1
Hainan,142,1
Shanxi,122,1
Guizhou,118,1
Liaoning,108,1
Tianjin,96,1
Gansu,86,1
Jilin,81,1
Inner Mongolia,58,1
Xinjiang,55,1
Ningxia,53,1
Hong Kong SAR,42,1
Qinghai,18,1
Taipei and environs,18,1
Macao SAR,10,1
Xizang,1,1
Total,42 708,1
