"China, 7 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,22 112,1
Zhejiang,1006,1
Guangdong,1018,1
Henan,914,1
Hunan,772,1
Anhui,665,1
Jiangxi,661,1
Chongqing,411,1
Jiangsu,408,1
Sichuan,344,1
Shandong,379,1
Beijing,297,1
Shanghai,269,1
Fujian,224,1
Heilongjiang,277,1
Shaanxi,184,1
Guangxi,172,1
Hebei,171,1
Yunnan,135,1
Hainan,111,1
Shanxi,96,1
Liaoning,94,1
Tianjin,79,1
Guizhou,77,1
Gansu,70,1
Jilin,65,1
Inner Mongolia,49,1
Ningxia,43,1
Xinjiang,39,1
Hong Kong SAR,24,1
Qinghai,18,1
Taipei and environs,16,1
Macao SAR,10,1
Xizang,1,1
Total,31 211,1
