"China, 6 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,19 665,1
Zhejiang,954,1
Guangdong,944,1
Henan,851,1
Hunan,711,1
Anhui,591,1
Jiangxi,600,1
Chongqing,389,1
Jiangsu,373,1
Sichuan,321,1
Shandong,343,1
Beijing,274,1
Shanghai,254,1
Fujian,215,1
Heilongjiang,227,1
Shaanxi,173,1
Guangxi,168,1
Hebei,157,1
Yunnan,128,1
Hainan,100,1
Liaoning,89,1
Shanxi,90,1
Tianjin,70,1
Gansu,62,1
Guizhou,69,1
Jilin,59,1
Inner Mongolia,46,1
Ningxia,40,1
Xinjiang,36,1
Hong Kong SAR,21,1
Qinghai,18,1
Taipei and environs,11,1
Macao SAR,10,1
Xizang,1,1
Total,28 060,1
