"China, 5 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,16678,1
Zhejiang,895,1
Guangdong,870,1
Henan,764,1
Hunan,661,1
Anhui,530,1
Jiangxi,548,1
Chongqing,366,1
Jiangsu,341,1
Sichuan,301,1
Shandong,298,1
Beijing,253,1
Shanghai,233,1
Fujian,205,1
Heilongjiang,190,1
Shaanxi,165,1
Guangxi,150,1
Hebei,135,1
Yunnan,122,1
Hainan,89,1
Liaoning,81,1
Shanxi,81,1
Tianjin,67,1
Gansu,57,1
Guizhou,64,1
Jilin,54,1
Inner Mongolia,42,1
Ningxia,34,1
Xinjiang,32,1
Hong Kong SAR,18,1
Qinghai,17,1
Taipei and environs,11,1
Macao SAR,10,1
Xizang,1,1
Total,24363,1
