"China, 4 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,13522,1
Zhejiang,829,1
Guangdong,797,1
Henan,675,1
Hunan,593,1
Anhui,480,1
Jiangxi,476,1
Chongqing,337,1
Jiangsu,308,1
Sichuan,282,1
Shandong,270,1
Beijing,228,1
Shanghai,208,1
Fujian,194,1
Heilongjiang,155,1
Shaanxi,142,1
Guangxi,139,1
Hebei,126,1
Yunnan,117,1
Hainan,79,1
Liaoning,74,1
Shanxi,74,1
Tianjin,63,1
Gansu,56,1
Guizhou,56,1
Jilin,42,1
Inner Mongolia,37,1
Ningxia,34,1
Xinjiang,29,1
Hong Kong SAR,15,1
Qinghai,15,1
Taipei,10,1
Macao SAR,8,1
Xizang,1,1
,20471,1
Total,,1
