"China, 8 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,24 953,1
Guangdong,1075,1
Zhejiang,1048,1
Henan,981,1
Hunan,803,1
Anhui,733,1
Jiangxi,698,1
Jiangsu,439,1
Chongqing,426,1
Shandong,407,1
Sichuan,363,1
Beijing,315,1
Heilongjiang,282,1
Shanghai,281,1
Fujian,239,1
Shaanxi,195,1
Hebei,195,1
Guangxi,183,1
Yunnan,138,1
Hainan,123,1
Shanxi,104,1
Liaoning,99,1
Guizhou,89,1
Tianjin,81,1
Gansu,71,1
Jilin,69,1
Inner Mongolia,50,1
Ningxia,45,1
Xinjiang,42,1
Hong Kong SAR,26,1
Qinghai,18,1
Taipei and environs,16,1
Macao SAR,10,1
Xizang,1,1
Total,34 598,1
