Clinically 1,Clinically,F11,F2,F7,Laboratory 1,Laboratory,Number of Records,Region/,Suspected,Total 1,Total
,,Deaths,"(10,000s)",Deaths,,,1,,,,
diagnosed,diagnosed,,,,confirmed,confirmed,1,City,cases,cases,cases
17410,888,1596,5917,139,38839,955,1,Hubei,1036,56249,1843
-,-,2,11346,0,1316,22,1,Guangdong,2,1316,22
-,-,13,9605,0,1231,19,1,Henan,137,1231,19
-,-,0,5737,0,1167,5,1,Zhejiang,23,1167,5
-,-,3,6899,1,1004,3,1,Hunan,36,1004,3
-,-,6,6324,0,962,12,1,Anhui,6,962,12
-,-,1,4648,0,925,13,1,Jiangxi,7,925,13
-,-,0,8051,0,617,13,1,Jiangsu,9,617,13
-,-,5,3102,0,544,7,1,Chongqing,75,544,7
-,-,2,10047,0,537,7,1,Shandong,22,537,7
-,-,3,8341,2,481,11,1,Sichuan,46,481,11
-,-,11,3773,0,445,20,1,Heilongjiang,44,445,20
-,-,4,2154,0,380,5,1,Beijing,35,380,5
-,-,1,2424,0,328,2,1,Shanghai,75,328,2
-,-,3,7556,0,300,9,1,Hebei,2,300,9
-,-,0,3941,0,287,2,1,Fujian,2,287,2
-,-,2,4926,0,237,2,1,Guangxi,49,237,2
-,-,0,3864,0,236,4,1,Shaanxi,15,236,4
-,-,0,4830,0,169,1,1,Yunnan,37,169,1
-,-,4,934,0,162,0,1,Hainan,30,162,0
-,-,1,3600,0,144,1,1,Guizhou,8,144,1
-,-,0,3718,0,128,1,1,Shanxi,15,128,1
-,-,3,1560,0,122,2,1,Tianjin,109,122,2
-,-,1,4359,0,120,1,1,Liaoning,69,120,1
-,-,2,2637,0,90,0,1,Gansu,1,90,0
-,-,1,2704,0,89,1,1,Jilin,16,89,1
-,-,1,2487,0,71,1,1,Xinjiang,3,71,1
-,-,0,688,0,70,0,1,Ningxia,5,70,0
-,-,0,2534,0,70,2,1,Inner Mongolia,4,70,2
-,-,1,745,0,56,0,1,Hong Kong Sar,0,56,0
-,-,0,2359,0,18,0,1,Taipei and environs,0,18,0
-,-,0,603,0,18,0,1,Qinghai,0,18,0
-,-,0,66,0,10,0,1,MacaoSar,0,10,0
-,-,0,344,0,1,0,1,Xizang,0,1,0
17410,888,1666,142823,142,51174,1121,1,Totals,1918,68584,2009
