"China, 10 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,29631,1
Guangdong,1151,1
Zhejiang,1104,1
Henan,1073,1
Hunan,879,1
Anhui,830,1
Jiangxi,771,1
Jiangsu,492,1
Chongqing,468,1
Shandong,459,1
Sichuan,405,1
Beijing,337,1
Heilongjiang,331,1
Shanghai,295,1
Fujian,261,1
Hebei,218,1
Shaanxi,213,1
Guangxi,210,1
Yunnan,141,1
Hainan,136,1
Shanxi,119,1
Guizhou,109,1
Liaoning,107,1
Tianjin,91,1
Gansu,85,1
Jilin,80,1
Inner Mongolia,58,1
Ningxia,49,1
Xinjiang,49,1
Hong Kong SAR,36,1
Qinghai,18,1
Taipei and environs,18,1
Macao SAR,10,1
Xizang,1,1
Total,40 235,1
