"China, 2 February 2020",F2,Number of Records
Province/Region/City,Confirmed Cases,1
Hubei,9074,1
Zhejiang,661,1
Guangdong,604,1
Henan,493,1
Hunan,463,1
Anhui,340,1
Jiangxi,333,1
Chongqing,262,1
Sichuan,236,1
Jiangsu,231,1
Shandong,225,1
Beijing,183,1
Shanghai,177,1
Fujian,159,1
Shaanxi,116,1
Guangxi,111,1
Hebei,104,1
Yunnan,99,1
Heilongjiang,95,1
Liaoning,64,1
Hainan,63,1
Shanxi,56,1
Gansu,45,1
Tianjin,40,1
Guizhou,38,1
Ningxia,28,1
Inner Mongolia,26,1
Xinjiang,23,1
Jilin,21,1
Hong Kong SAR,14,1
Taipei,10,1
Qinghai,9,1
Macau SAR,7,1
Xizang,1,1
Total,14411,1
